duration,actor1_fb_likes,actor2_fb_likes,actor3_fb_likes,budget,movie_fb_likes,actor4_fb_likes,director_fb_likes,cast_total_fb_likes,imdb
2.4866,2.9489,0.4214,1.2519,1.3899,-0.28312,0.20615,4.1775,1.5775,1
0.24578,-0.22827,-0.5613,0.56261,1.6036,0.026293,-0.30397,-0.17535,0.50419,0
-0.50117,-0.77331,0.38286,0.69025,1.3899,2.4096,-0.40968,-0.37586,-0.16667,1
-0.45723,-0.70684,0.67189,-0.27984,1.3899,0.73711,0.85798,-0.42918,-0.3596,0
0.28972,0.17053,0.19017,0.84342,1.3899,-0.057332,-0.16227,-0.41367,0.37917,0
0.59728,1.7525,-0.21446,0.40943,1.3899,0.94617,-0.048911,-0.39599,0.4533,1
-0.36935,-0.70684,0.67189,-0.25432,1.283,-0.26221,-0.13393,-0.42918,-0.49037,0
0.33365,0.22371,-0.64357,0.28179,2.4583,-0.5217,-0.48309,-0.41993,-0.44459,0
0.026089,-0.44097,1.3463,-0.050085,1.3899,4.5839,0.40454,-0.40633,0.18402,1
0.68516,0.82191,0.36359,0.12862,1.3899,-0.32493,0.29117,-0.38348,0.65927,1
0.28972,-0.042165,-0.58057,-0.57419,1.3899,-0.50891,-0.58313,-0.40578,-0.63595,0
2.2669,0.42311,-0.23373,-0.25432,1.3258,-0.42946,-0.43576,-0.14815,-0.092087,1
-1.3799,-0.72014,-0.33008,-0.49863,1.3685,-0.51953,1.3681,-0.43816,-0.34853,0
0.070027,0.42311,-0.31081,0.43496,1.6036,-0.3333,-0.048911,-0.36715,-0.17958,1
-1.292,-0.42768,-0.54203,0.63919,1.8814,-0.50055,-0.24729,-0.43381,-0.27778,0
-0.72086,-0.83645,-0.73028,-0.050085,1.283,-0.35002,-0.57803,-0.43027,-0.49588,1
1.6518,0.82191,0.24798,0.05203,1.3471,5.8382,-0.19061,1.5114,0.73208,1
0.99272,-0.082046,2.8878,0.077558,1.7318,-0.21622,1.2264,0.15111,1.296,1
2.5305,0.064183,0.074564,-0.45012,1.2403,0.31898,-0.39041,1.5114,-0.058149,1
